URL,Valoración,Estación,Km freeride,Continente,País,Provincia/Estado,Altitud,Km fáciles,Km intermedios,Km difíciles,Precio forfait adulto,Moneda,Tamaño del dominio esquiable,Variedad de pistas,Remontes y teleféricos,Fiabilidad de nieve,Acceso y aparcamiento,Señalización,Limpieza e higiene,Sostenibilidad,Gastronomía,Après-ski,Alojamiento en pistas,Familias y niños,Principiantes,Snowparks,Esquí de fondo,Código país,Latitud,Longitud,Km totales,Categoría tamaño,% Pistas fáciles,% Pistas intermedias,% Pistas difíciles,Perfil recomendado,Perfil freeride,Precio por km,Precio forfait EUR,Precio por km EUR
http://www.skiresort.info/ski-resort/hochzeiger-jerzens/,4.0,Hochzeiger – Jerzens,8.0,Europe,Austria,Tyrol (Tirol),2450.0,10.0,22.0,8.0,44.0,European Euro,3.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,AT,47.516231,14.550072,40.0,Mediana,25.0,55.00000000000001,20.0,Intermedio,Freeride básico,1.1,44.0,1.1
http://www.skiresort.info/ski-resort/dachstein-west-gosaurussbachannaberg/,4.0,Dachstein West – Gosau/Russbach/Annaberg,4.0,Europe,Austria,Salzburg (Salzburger Land),1620.0,15.0,33.0,3.0,43.0,European Euro,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,AT,47.516231,14.550072,51.0,Mediana,29.411764705882355,64.70588235294117,5.88235294117647,Intermedio,Freeride básico,0.84,43.0,0.84
http://www.skiresort.info/ski-resort/galtuer-silvapark/,4.0,Galtür – Silvapark,6.0,Europe,Austria,Tyrol (Tirol),2300.0,6.0,25.0,12.0,40.0,European Euro,3.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,AT,47.516231,14.550072,43.0,Mediana,13.953488372093023,58.13953488372093,27.906976744186046,Intermedio,Freeride básico,0.93,40.0,0.93
http://www.skiresort.info/ski-resort/sillian-thurntaler-hochpustertal/,3.9,Sillian – Thurntaler (Hochpustertal),0.7,Europe,Austria,Tyrol (Tirol),2407.0,5.6,15.0,1.1,36.0,European Euro,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,AT,47.516231,14.550072,21.700000000000003,Pequeña,25.80645161290322,69.12442396313364,5.0691244239631335,Intermedio,Freeride básico,1.66,36.0,1.66
http://www.skiresort.info/ski-resort/hochoetz-oetz/,3.9,Hochoetz – Oetz,3.5,Europe,Austria,Tyrol (Tirol),2272.0,12.0,21.0,3.0,39.0,European Euro,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,2.0,AT,47.516231,14.550072,36.0,Mediana,33.33333333333333,58.333333333333336,8.333333333333332,Intermedio,Freeride básico,1.08,39.0,1.08
http://www.skiresort.info/ski-resort/spieljoch-fuegen/,3.9,Spieljoch – Fügen,4.0,Europe,Austria,Tyrol (Tirol),2037.0,3.6,14.8,2.7,36.0,European Euro,2.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,AT,47.516231,14.550072,21.1,Pequeña,17.061611374407583,70.14218009478674,12.796208530805686,Intermedio,Freeride básico,1.71,36.0,1.71
http://www.skiresort.info/ski-resort/kreischberg/,3.9,Kreischberg,0.0,Europe,Austria,Styria (Steiermark),2118.0,17.0,16.0,9.0,44.0,European Euro,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,AT,47.516231,14.550072,42.0,Mediana,40.47619047619048,38.095238095238095,21.428571428571427,Equilibrada,Sin freeride,1.05,44.0,1.05
http://www.skiresort.info/ski-resort/fellhornkanzelwand-oberstdorfriezlern/,3.9,Fellhorn/Kanzelwand – Oberstdorf/Riezlern,2.0,Europe,Austria,Vorarlberg,1967.0,13.0,19.0,2.0,47.0,European Euro,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,AT,47.516231,14.550072,34.0,Mediana,38.23529411764706,55.88235294117647,5.88235294117647,Intermedio,Freeride básico,1.38,47.0,1.38
http://www.skiresort.info/ski-resort/hinterstoder-hoess/,3.9,Hinterstoder – Höss,0.0,Europe,Austria,Upper Austria (Oberosterreich),2000.0,12.0,18.0,10.0,43.0,European Euro,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,AT,47.516231,14.550072,40.0,Mediana,30.0,45.0,25.0,Intermedio,Sin freeride,1.08,43.0,1.08
http://www.skiresort.info/ski-resort/axamer-lizum/,3.8,Axamer Lizum,0.0,Europe,Austria,Tyrol (Tirol),2340.0,7.0,21.0,2.0,43.0,European Euro,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,AT,47.516231,14.550072,30.0,Mediana,23.33333333333333,70.0,6.666666666666667,Intermedio,Sin freeride,1.43,43.0,1.43
