URL,Valoración,Estación,Km freeride,Continente,País,Provincia/Estado,Altitud,Km fáciles,Km intermedios,Km difíciles,Precio forfait adulto,Moneda,Tamaño del dominio esquiable,Variedad de pistas,Remontes y teleféricos,Fiabilidad de nieve,Acceso y aparcamiento,Señalización,Limpieza e higiene,Sostenibilidad,Gastronomía,Après-ski,Alojamiento en pistas,Familias y niños,Principiantes,Snowparks,Esquí de fondo,Código país,Latitud,Longitud,Km totales,Categoría tamaño,% Pistas fáciles,% Pistas intermedias,% Pistas difíciles,Perfil recomendado,Perfil freeride,Precio por km,Precio por km EUR,Precio forfait EUR
http://www.skiresort.info/ski-resort/almenwelt-lofer/,4.0,Almenwelt Lofer,0.0,Europe,Austria,Salzburg (Salzburger Land),1670.0,32.0,12.0,2.0,42.0,European Euro,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,AT,47.52,14.55,46.0,Mediana,69.57,26.09,4.35,Principiante,Sin freeride,0.91,0.91,42.0
http://www.skiresort.info/ski-resort/lermoos-grubigstein/,4.0,Lermoos – Grubigstein,1.7,Europe,Austria,Tyrol (Tirol),2100.0,12.8,12.6,1.9,44.0,European Euro,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,AT,47.52,14.55,27.3,Mediana,46.89,46.15,6.96,Equilibrada,Freeride básico,1.61,1.61,44.0
http://www.skiresort.info/ski-resort/golm/,4.0,Golm,3.2,Europe,Austria,Vorarlberg,2110.0,13.0,12.0,1.5,44.0,European Euro,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,AT,47.52,14.55,26.5,Mediana,49.06,45.28,5.66,Equilibrada,Freeride básico,1.66,1.66,44.0
http://www.skiresort.info/ski-resort/hintertux-glacier-hintertuxer-gletscher/,4.0,Hintertux Glacier (Hintertuxer Gletscher),0.0,Europe,Austria,Tyrol (Tirol),3250.0,14.0,35.0,11.0,52.0,European Euro,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,2.0,AT,47.52,14.55,60.0,Mediana,23.33,58.33,18.33,Intermedio,Sin freeride,0.87,0.87,52.0
http://www.skiresort.info/ski-resort/st-johann-in-tiroloberndorf-harschbichl/,4.0,St. Johann in Tirol/Oberndorf – Harschbichl,1.0,Europe,Austria,Tyrol (Tirol),1604.0,16.0,24.0,3.0,43.0,European Euro,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,5.0,AT,47.52,14.55,43.0,Mediana,37.21,55.81,6.98,Intermedio,Freeride básico,1.0,1.0,43.0
http://www.skiresort.info/ski-resort/radstadtaltenmarkt/,4.0,Radstadt/Altenmarkt,0.0,Europe,Austria,Salzburg (Salzburger Land),1571.0,9.2,7.2,0.6,32.0,European Euro,2.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,AT,47.52,14.55,17.0,Pequeña,54.12,42.35,3.53,Principiante,Sin freeride,1.88,1.88,32.0
http://www.skiresort.info/ski-resort/tauplitz-bad-mitterndorf/,4.0,Tauplitz – Bad Mitterndorf,2.0,Europe,Austria,Styria (Steiermark),1965.0,18.0,19.0,6.0,41.0,European Euro,3.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,5.0,AT,47.52,14.55,43.0,Mediana,41.86,44.19,13.95,Equilibrada,Freeride básico,0.95,0.95,41.0
http://www.skiresort.info/ski-resort/hochzeiger-jerzens/,4.0,Hochzeiger – Jerzens,8.0,Europe,Austria,Tyrol (Tirol),2450.0,10.0,22.0,8.0,44.0,European Euro,3.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,AT,47.52,14.55,40.0,Mediana,25.0,55.0,20.0,Intermedio,Freeride básico,1.1,1.1,44.0
http://www.skiresort.info/ski-resort/dachstein-west-gosaurussbachannaberg/,4.0,Dachstein West – Gosau/Russbach/Annaberg,4.0,Europe,Austria,Salzburg (Salzburger Land),1620.0,15.0,33.0,3.0,43.0,European Euro,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,AT,47.52,14.55,51.0,Mediana,29.41,64.71,5.88,Intermedio,Freeride básico,0.84,0.84,43.0
http://www.skiresort.info/ski-resort/galtuer-silvapark/,4.0,Galtür – Silvapark,6.0,Europe,Austria,Tyrol (Tirol),2300.0,6.0,25.0,12.0,40.0,European Euro,3.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,AT,47.52,14.55,43.0,Mediana,13.95,58.14,27.91,Intermedio,Freeride básico,0.93,0.93,40.0
http://www.skiresort.info/ski-resort/sillian-thurntaler-hochpustertal/,3.9,Sillian – Thurntaler (Hochpustertal),0.7,Europe,Austria,Tyrol (Tirol),2407.0,5.6,15.0,1.1,36.0,European Euro,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,AT,47.52,14.55,21.7,Pequeña,25.81,69.12,5.07,Intermedio,Freeride básico,1.66,1.66,36.0
http://www.skiresort.info/ski-resort/hochoetz-oetz/,3.9,Hochoetz – Oetz,3.5,Europe,Austria,Tyrol (Tirol),2272.0,12.0,21.0,3.0,39.0,European Euro,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,2.0,AT,47.52,14.55,36.0,Mediana,33.33,58.33,8.33,Intermedio,Freeride básico,1.08,1.08,39.0
http://www.skiresort.info/ski-resort/spieljoch-fuegen/,3.9,Spieljoch – Fügen,4.0,Europe,Austria,Tyrol (Tirol),2037.0,3.6,14.8,2.7,36.0,European Euro,2.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,AT,47.52,14.55,21.1,Pequeña,17.06,70.14,12.8,Intermedio,Freeride básico,1.71,1.71,36.0
http://www.skiresort.info/ski-resort/kreischberg/,3.9,Kreischberg,0.0,Europe,Austria,Styria (Steiermark),2118.0,17.0,16.0,9.0,44.0,European Euro,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,AT,47.52,14.55,42.0,Mediana,40.48,38.1,21.43,Equilibrada,Sin freeride,1.05,1.05,44.0
http://www.skiresort.info/ski-resort/fellhornkanzelwand-oberstdorfriezlern/,3.9,Fellhorn/Kanzelwand – Oberstdorf/Riezlern,2.0,Europe,Austria,Vorarlberg,1967.0,13.0,19.0,2.0,47.0,European Euro,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,AT,47.52,14.55,34.0,Mediana,38.24,55.88,5.88,Intermedio,Freeride básico,1.38,1.38,47.0
http://www.skiresort.info/ski-resort/hinterstoder-hoess/,3.9,Hinterstoder – Höss,0.0,Europe,Austria,Upper Austria (Oberosterreich),2000.0,12.0,18.0,10.0,43.0,European Euro,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,AT,47.52,14.55,40.0,Mediana,30.0,45.0,25.0,Intermedio,Sin freeride,1.08,1.08,43.0
